[2023-06-02 15:45:07,985][inference.model_runners][INFO] - Reading checkpoint from /projects/ml/RF2_allatom/lab_model_weights/aa_diffusion.pt
[2023-06-02 15:45:19,361][inference.model_runners][INFO] - Loading checkpoint.
[2023-06-02 15:45:19,599][diffusion][INFO] - No IGSO3 cache found at ./T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2023-06-02 15:45:19,599][diffusion][INFO] - Calculating IGSO3.
[2023-06-02 15:46:34,233][__main__][INFO] - Making design /home/lhtran/class/cheme_577/challenge_4/unrelated/output/des_0
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using contig: ['70-120']
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using sampled mask: ['118-118']
[2023-06-02 15:47:24,975][inference.model_runners][INFO] - 15:47:24: Timestep 171, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:26,543][inference.model_runners][INFO] - 15:47:26: Timestep 170, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:28,143][inference.model_runners][INFO] - 15:47:28: Timestep 169, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:29,761][inference.model_runners][INFO] - 15:47:29: Timestep 168, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:31,363][inference.model_runners][INFO] - 15:47:31: Timestep 167, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:32,972][inference.model_runners][INFO] - 15:47:32: Timestep 166, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:34,575][inference.model_runners][INFO] - 15:47:34: Timestep 165, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:36,175][inference.model_runners][INFO] - 15:47:36: Timestep 164, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:37,791][inference.model_runners][INFO] - 15:47:37: Timestep 163, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:39,391][inference.model_runners][INFO] - 15:47:39: Timestep 162, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:40,965][inference.model_runners][INFO] - 15:47:40: Timestep 161, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:42,536][inference.model_runners][INFO] - 15:47:42: Timestep 160, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:44,107][inference.model_runners][INFO] - 15:47:44: Timestep 159, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:47:45,673][inference.model_runners][INFO] - 15:47:45: Timestep 158, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
